counterparty_id,segment,region,risk_score,risk_band,top_signal,payment_delay_days,utilization_ratio,revenue_change,industry_stress,exposure
CP-07463,Mid-market,North America,0.47302396199846847,High,Payment delay,37.1,0.91,-0.176,0.564,1451674.0
CP-11953,Enterprise,North America,0.47033537230701,High,Prior events,17.2,0.824,-0.009,0.706,503890.0
CP-12308,SMB,Asia Pacific,0.4575499154379413,High,Revenue decline,27.5,0.513,-0.412,0.338,4737819.0
CP-03054,SMB,Asia Pacific,0.45543137433267944,High,Payment delay,48.7,0.98,0.104,0.703,1379384.0
CP-07350,Mid-market,Latin America,0.4550145384596592,High,Prior events,30.4,0.711,-0.076,0.654,1781875.0
CP-02080,Mid-market,Asia Pacific,0.45329524131996385,High,Prior events,12.8,0.919,-0.392,0.197,2004132.0
CP-11050,Enterprise,Latin America,0.4517801764707259,High,Utilization,21.2,0.848,-0.263,0.692,2525519.0
CP-02905,Enterprise,North America,0.4508130056231474,High,Prior events,27.5,0.721,-0.225,0.644,1578766.0
CP-00668,Enterprise,North America,0.44678909253938753,High,Prior events,21.2,0.883,-0.328,0.389,459771.0
CP-05214,SMB,Asia Pacific,0.44474057605893436,High,Payment delay,42.8,0.726,-0.319,0.451,4112718.0
CP-08637,SMB,Asia Pacific,0.4435360716584867,High,Payment delay,28.8,0.755,-0.235,0.772,6691278.0
CP-11540,Mid-market,Asia Pacific,0.44313546025852263,High,Utilization,23.0,0.956,0.094,0.776,1172126.0
CP-13440,SMB,Asia Pacific,0.44223724693009564,High,Payment delay,40.3,0.823,0.131,0.422,2389908.0
CP-18014,Mid-market,Latin America,0.441849994986848,High,Prior events,13.4,0.847,-0.383,0.577,623912.0
CP-12399,Mid-market,Europe,0.44150682566514526,High,Utilization,25.8,0.925,-0.273,0.366,1701530.0
CP-04542,SMB,North America,0.438031329514641,High,Utilization,27.3,0.878,-0.244,0.547,162080.0
CP-03633,SMB,North America,0.43482711991003675,High,Payment delay,34.3,0.789,0.033,0.728,3608451.0
CP-13874,SMB,Latin America,0.4332552261549136,High,Prior events,12.6,0.677,0.008,0.462,857506.0
CP-01730,Enterprise,Latin America,0.43130338327988443,High,Prior events,19.6,0.789,-0.359,0.758,1181401.0
CP-13752,Mid-market,Latin America,0.4304218438217219,High,Payment delay,31.4,0.721,-0.146,0.447,627491.0
CP-12378,SMB,Europe,0.43025509176911864,High,Payment delay,41.8,0.527,-0.225,0.6,2135224.0
CP-02683,Enterprise,North America,0.4276415927976418,High,Utilization,23.5,0.771,-0.301,0.652,794835.0
CP-13890,Mid-market,Latin America,0.4262142103873556,High,Payment delay,50.1,0.542,-0.188,0.401,3446971.0
CP-04136,SMB,Latin America,0.4249565274924001,High,Prior events,16.3,0.816,-0.315,0.363,1003048.0
CP-15090,Enterprise,North America,0.4245793358775456,High,Payment delay,34.1,0.679,-0.331,0.508,2870122.0
CP-01658,Mid-market,Asia Pacific,0.42440548043009724,High,Payment delay,27.2,0.711,-0.289,0.648,427443.0
CP-14166,Mid-market,North America,0.4235685841155793,High,Prior events,17.1,0.679,-0.222,0.505,1911474.0
CP-02197,SMB,North America,0.42165984603192974,High,Revenue decline,21.8,0.585,-0.397,0.779,214511.0
CP-02451,Mid-market,Latin America,0.4215281441564801,High,Utilization,28.9,0.835,-0.216,0.664,2681775.0
CP-19365,SMB,Asia Pacific,0.4210103072269313,High,Revenue decline,11.0,0.828,-0.376,0.676,488628.0
CP-01895,Mid-market,Europe,0.4199470400527226,High,Payment delay,35.9,0.956,-0.098,0.646,1100626.0
CP-09272,SMB,Latin America,0.4187655418177781,High,Payment delay,46.4,0.989,-0.232,0.279,324024.0
CP-14013,SMB,Latin America,0.416858399523379,High,Utilization,21.5,0.911,-0.323,0.471,1774480.0
CP-13806,SMB,Europe,0.4159063872347012,High,Revenue decline,16.8,0.949,-0.384,0.709,3040677.0
CP-02652,SMB,Latin America,0.41507313293816084,High,Prior events,8.1,0.816,-0.042,0.39,770140.0
CP-17781,Mid-market,Europe,0.4127030628214703,High,Payment delay,35.9,0.687,0.069,0.498,728203.0
CP-16394,Mid-market,North America,0.4123167514631899,High,Revenue decline,28.5,0.559,-0.36,0.591,10526764.0
CP-04783,Enterprise,Latin America,0.41205263795290537,High,Revenue decline,18.3,0.864,-0.456,0.837,1681849.0
CP-08674,SMB,North America,0.41132737905225886,High,Prior events,19.5,0.402,-0.358,0.429,635217.0
CP-01814,Enterprise,Europe,0.41024966289532466,High,Prior events,22.2,0.83,-0.014,0.252,1981546.0
CP-02674,Enterprise,North America,0.4097660612908862,High,Prior events,20.3,0.857,0.025,0.516,906038.0
CP-05363,SMB,Latin America,0.4083614449504315,High,Revenue decline,15.7,0.701,-0.369,0.819,741313.0
CP-19288,SMB,Europe,0.4075476818249626,High,Utilization,32.1,0.975,-0.074,0.639,1218871.0
CP-00219,Enterprise,Latin America,0.40581347210681656,High,Payment delay,30.5,0.867,-0.332,0.612,2371377.0
CP-08451,Enterprise,Europe,0.40520341426240364,High,Utilization,17.5,0.96,-0.23,0.392,873238.0
CP-09156,SMB,North America,0.4047522558957683,High,Utilization,28.4,0.953,0.062,0.647,545755.0
CP-09127,Enterprise,North America,0.40336667229291606,High,Payment delay,31.2,0.77,-0.021,0.651,1290061.0
CP-00644,SMB,Europe,0.4030864131151589,High,Payment delay,31.6,0.652,-0.227,0.234,2714066.0
CP-08927,Enterprise,Europe,0.40164124943437407,High,Utilization,12.6,0.865,-0.239,0.384,602608.0
CP-13386,SMB,Asia Pacific,0.4007269928258707,High,Payment delay,34.1,0.973,0.164,0.522,2329867.0
CP-01734,Enterprise,North America,0.39919470365371507,High,Revenue decline,15.4,0.98,-0.471,0.39,2120417.0
CP-01474,Mid-market,North America,0.3972753874383323,High,Payment delay,37.1,0.704,-0.141,0.331,1742105.0
CP-08569,Mid-market,Europe,0.3968416565229731,High,Payment delay,34.7,0.928,-0.268,0.239,155523.0
CP-17581,Mid-market,Asia Pacific,0.3967984395648381,High,Payment delay,41.2,0.674,0.14,0.125,1286587.0
CP-05196,Enterprise,North America,0.3958367843999206,High,Utilization,13.4,0.886,-0.28,0.597,2620676.0
CP-00426,Mid-market,Latin America,0.3958117540807524,High,Utilization,23.5,0.709,-0.187,0.497,2808631.0
CP-14289,SMB,Latin America,0.395590407191113,High,Prior events,27.4,0.684,0.032,0.391,4770232.0
CP-11528,Mid-market,Europe,0.3950231374027993,High,Payment delay,28.3,0.675,0.076,0.421,4727820.0
CP-13213,Enterprise,Latin America,0.3944223208707117,High,Prior events,20.9,0.595,-0.008,0.584,1914762.0
CP-07557,Enterprise,Europe,0.39332576466776836,High,Revenue decline,23.0,0.983,-0.442,0.603,970526.0
CP-17820,Mid-market,Europe,0.27895461110320857,Medium,Utilization,12.8,0.829,0.006,0.378,6025155.0
CP-19238,Enterprise,North America,0.2772907787413528,Medium,Utilization,15.7,0.824,0.193,0.732,1468858.0
CP-09656,SMB,North America,0.275255345090867,Medium,Utilization,22.1,0.805,-0.181,0.355,641839.0
CP-05044,SMB,Europe,0.273256105770488,Medium,Payment delay,26.2,0.667,-0.002,0.498,766719.0
CP-02120,Mid-market,North America,0.2723751483210011,Medium,Utilization,19.8,0.737,-0.18,0.498,1834877.0
CP-01464,Enterprise,North America,0.2713278818049556,Medium,Utilization,19.9,0.919,-0.263,0.453,2222360.0
CP-07256,Enterprise,Europe,0.2705554354462919,Medium,Utilization,7.3,0.665,-0.148,0.398,1204231.0
CP-13544,Enterprise,Latin America,0.25695163314045266,Medium,Industry stress,23.1,0.594,-0.136,0.725,2898615.0
CP-11066,Mid-market,North America,0.2558652736371775,Medium,Utilization,24.8,0.854,-0.2,0.374,1096700.0
CP-11622,Mid-market,Asia Pacific,0.2516172198571199,Medium,Utilization,10.8,0.797,-0.192,0.454,539909.0
CP-19245,Enterprise,Europe,0.2462090378322025,Medium,Utilization,21.6,0.755,-0.044,0.484,962873.0
CP-05988,Enterprise,Europe,0.24618234296502797,Medium,Utilization,18.8,0.688,-0.039,0.418,1171345.0
CP-04080,Mid-market,Europe,0.2461679022282244,Medium,Prior events,9.4,0.477,0.046,0.52,712682.0
CP-13001,Mid-market,Asia Pacific,0.2428831359006296,Medium,Utilization,9.0,0.702,-0.237,0.358,1572307.0
CP-19706,Mid-market,Asia Pacific,0.241697770335124,Medium,Utilization,13.9,0.688,-0.177,0.4,1924821.0
CP-17353,Mid-market,Europe,0.23543938454353394,Medium,Utilization,19.3,0.975,0.238,0.256,2950899.0
CP-16100,SMB,Latin America,0.2316935812198124,Medium,Revenue decline,7.5,0.725,-0.321,0.592,2748802.0
CP-01515,SMB,Latin America,0.2295473093979968,Medium,Prior events,18.0,0.351,-0.241,0.351,3687625.0
CP-06440,SMB,Asia Pacific,0.22864836625099755,Medium,Payment delay,25.1,0.685,-0.126,0.25,3693080.0
CP-08574,SMB,North America,0.2265773327109597,Medium,Payment delay,31.6,0.594,0.036,0.185,6778972.0
CP-13252,Enterprise,Asia Pacific,0.2260483147057232,Medium,Payment delay,27.6,0.469,-0.177,0.335,1239985.0
CP-08930,SMB,Asia Pacific,0.22119050724679662,Medium,Payment delay,29.7,0.649,-0.283,0.375,1390465.0
CP-06244,Enterprise,Asia Pacific,0.21956587444634415,Medium,Utilization,14.3,0.671,-0.227,0.304,7561209.0
CP-12604,Mid-market,Asia Pacific,0.2189792539103957,Medium,Utilization,21.8,0.82,0.028,0.474,462114.0
CP-19048,SMB,Asia Pacific,0.21438097271072734,Medium,Payment delay,26.9,0.601,-0.12,0.312,11591398.0
CP-00491,Mid-market,North America,0.21172394045032136,Medium,Utilization,19.1,0.715,-0.207,0.427,4463374.0
CP-09896,Enterprise,Asia Pacific,0.21046529398946393,Medium,Utilization,11.8,0.789,-0.301,0.56,4775388.0
CP-04834,SMB,Asia Pacific,0.21014516364924277,Medium,Industry stress,14.2,0.364,-0.251,0.7,1251515.0
CP-09657,Mid-market,Europe,0.20637319365179838,Medium,Utilization,14.5,0.918,-0.073,0.321,2098280.0
CP-03331,SMB,Asia Pacific,0.20258513679478046,Medium,Utilization,12.2,0.694,-0.018,0.463,1684029.0
CP-01997,SMB,Latin America,0.20063398072183644,Medium,Utilization,16.5,0.772,-0.154,0.518,1100470.0
CP-03624,SMB,Latin America,0.19839431384539696,Medium,Utilization,24.5,0.881,0.06,0.453,710583.0
CP-10766,Mid-market,North America,0.19613181470736318,Medium,Prior events,11.1,0.457,-0.041,0.308,115093.0
CP-17639,Mid-market,North America,0.19337482360139466,Medium,Revenue decline,13.4,0.535,-0.294,0.631,3569008.0
CP-08641,SMB,Europe,0.1922468435781055,Medium,Payment delay,26.9,0.603,-0.165,0.118,480684.0
CP-00648,SMB,Latin America,0.19217077244477357,Medium,Utilization,16.8,0.62,0.136,0.2,2177992.0
CP-16363,Mid-market,Latin America,0.18780292919562028,Medium,Utilization,8.6,0.786,-0.251,0.402,3049521.0
CP-12084,SMB,Latin America,0.1877824751960416,Medium,Utilization,15.9,0.861,-0.19,0.367,409348.0
